Title                                   Artist                                  Album                                   Length Year ADDITIONAL_INFORMATION                  
Don't Get Mad Get Even                  Aerosmith                               Pump                                    4:49   1989 Vinyl RPM: 33                           
What It Takes                           Aerosmith                               Pump                                    6:30   1989 Vinyl RPM: 33                           
Hoodoo / Voodoo Medicine Man            Aerosmith                               Pump                                    4:39   1989 Vinyl RPM: 33                           
Dulcimer Stomp / The Other Side         Aerosmith                               Pump                                    4:57   1989 Vinyl RPM: 33                           
My Girl                                 Aerosmith                               Pump                                    3:10   1989 Vinyl RPM: 33                           
F.I.N.E.                                Aerosmith                               Pump                                    4:10   1989 Vinyl RPM: 33                           
Water Song / Janie's Got A Gun          Aerosmith                               Pump                                    5:33   1989 Vinyl RPM: 33                           
Monkey On My Back                       Aerosmith                               Pump                                    3:58   1989 Vinyl RPM: 33                           
Going Down / Love In An Elevator        Aerosmith                               Pump                                    5:39   1989 Vinyl RPM: 33                           
Young Lust                              Aerosmith                               Pump                                    4:20   1989 Vinyl RPM: 33                           
Antichrist Television Blues             Arcade Fire                             Neon Bible                              5:10   2017 Digital BitRate: 1411                   
My Body Is A Cage                       Arcade Fire                             Neon Bible                              4:47   2017 Digital BitRate: 1411                   
No Cars Go                              Arcade Fire                             Neon Bible                              5:44   2017 Digital BitRate: 1411                   
Windowsill                              Arcade Fire                             Neon Bible                              4:16   2017 Digital BitRate: 1411                   
Black Mirror                            Arcade Fire                             Neon Bible                              4:13   2017 Digital BitRate: 1411                   
The Well And The Lighthouse             Arcade Fire                             Neon Bible                              3:57   2017 Digital BitRate: 1411                   
Ocean Of Noise                          Arcade Fire                             Neon Bible                              4:54   2017 Digital BitRate: 1411                   
Black Wave / Bad Vibrations             Arcade Fire                             Neon Bible                              3:58   2017 Digital BitRate: 1411                   
Intervention                            Arcade Fire                             Neon Bible                              4:19   2017 Digital BitRate: 1411                   
Neon Bible                              Arcade Fire                             Neon Bible                              2:17   2017 Digital BitRate: 1411                   
Keep The Car Running                    Arcade Fire                             Neon Bible                              3:29   2017 Digital BitRate: 1411                   
A Message                               Coldplay                                X&Y                                     4:45   2005 Digital BitRate: 9216                   
Kingdom Come                            Coldplay                                X&Y                                     4:11   2005 Digital BitRate: 9216                   
